year,type,value
1969,farmers,18.022388059701484
1969,fertilizers,96.11940298507463
1969,fuels,97.16417910447757
1969,others,20.721393034825866
1970,animals,15.93283582089552
1970,farmers,17.238805970149258
1970,fertilizers,104.21641791044772
1970,fuels,98.99253731343285
1970,others,25.335820895522374
1971,animals,10.970149253731307
1971,farmers,15.671641791044806
1971,fertilizers,110.92039800995022
1971,fuels,103.43283582089552
1971,others,27.512437810945272
1972,animals,7.5746268656716325
1972,farmers,14.62686567164181
1972,fertilizers,120.49751243781094
1972,fuels,107.87313432835819
1972,others,27.965174129353215
1973,animals,7.31343283582089
1973,farmers,14.104477611940297
1973,fertilizers,127.98507462686561
1973,fuels,109.96268656716418
1973,others,27.68656716417911
1974,animals,6.791044776119406
1974,farmers,14.104477611940297
1974,fertilizers,119.36567164179095
1974,fuels,111.26865671641795
1974,others,29.25373134328356
1975,animals,6.00746268656718
1975,farmers,13.843283582089555
1975,fertilizers,119.88805970149252
1975,fuels,113.09701492537312
1975,others,31.86567164179104
1976,animals,6.00746268656718
1976,farmers,13.582089552238813
1976,fertilizers,130.07462686567158
1976,fuels,113.6194029850746
1976,others,31.604477611940297
1977,animals,6.268656716417922
1977,farmers,13.32089552238807
1977,fertilizers,129.5522388059701
1977,fuels,114.14179104477608
1977,others,40.093283582089555
1978,animals,6.268656716417894
1978,farmers,13.059701492537329
1978,fertilizers,137.910447761194
1978,fuels,113.35820895522389
1978,others,43.53233830845767
1979,animals,7.05223880597012
1979,farmers,12.01492537313436
1979,fertilizers,149.6641791044775
1979,fuels,112.57462686567166
1979,others,41.00746268656718
1980,animals,6.2686567164178655
1980,farmers,12.537313432835845
1980,fertilizers,152.27611940298502
1980,fuels,111.52985074626869
1980,others,43.35820895522386
1981,animals,5.223880597014894
1981,farmers,13.059701492537329
1981,fertilizers,153.0597014925373
1981,fuels,109.70149253731344
1981,others,47.53731343283579
1982,animals,6.268656716417862
1982,farmers,12.01492537313436
1982,fertilizers,155.6716417910447
1982,fuels,110.22388059701495
1982,others,47.01492537313436
1983,animals,6.007462686567152
1983,farmers,11.231343283582106
1983,fertilizers,161.15671641791045
1983,fuels,109.44029850746267
1983,others,48.320895522388014
1984,animals,6.00746268656718
1984,farmers,10.970149253731336
1984,fertilizers,164.55223880597015
1984,fuels,106.82835820895521
1984,others,53.457711442786035
1985,animals,6.268656716417894
1985,farmers,10.708955223880622
1985,fertilizers,166.64179104477608
1985,fuels,105.78358208955223
1985,others,57.98507462686564
1986,animals,7.400497512437804
1986,farmers,9.577114427860712
1986,fertilizers,173.17164179104475
1986,fuels,105.78358208955223
1986,others,55.63432835820896
1987,animals,7.31343283582089
1987,farmers,8.8805970149254
1987,fertilizers,175.52238805970143
1987,fuels,107.08955223880595
1987,others,55.37313432835822
1988,animals,5.74626865671641
1988,farmers,8.8805970149254
1988,fertilizers,177.61194029850742
1988,fuels,109.17910447761192
1988,others,56.156716417910445
1989,animals,4.701492537313413
1989,farmers,8.8805970149254
1989,fertilizers,176.0447761194029
1989,fuels,108.13432835820896
1989,others,61.64179104477614
1990,animals,5.7462686567164
1990,farmers,7.835820895522413
1990,fertilizers,175.52238805970148
1990,fuels,105.52238805970148
1990,others,59.55223880597009
1991,animals,5.223880597014897
1991,farmers,7.835820895522431
1991,fertilizers,171.0820895522387
1991,fuels,104.47761194029852
1991,others,62.425373134328424
1992,animals,6.268656716417922
1992,farmers,6.791044776119406
1992,fertilizers,155.93283582089546
1992,fuels,103.69402985074626
1992,others,62.77363184079604
1993,animals,6.529850746268664
1993,farmers,7.052238805970148
1993,fertilizers,150.97014925373134
1993,fuels,101.34328358208954
1993,others,59.02985074626861
1994,animals,6.791044776119406
1994,farmers,6.791044776119406
1994,fertilizers,155.6716417910447
1994,fuels,100.82089552238807
1994,others,59.029850746268664
1995,animals,7.31343283582089
1995,farmers,6.268656716417922
1995,fertilizers,162.7238805970149
1995,fuels,99.25373134328363
1995,others,62.16417910447751
1996,animals,5.746268656716438
1996,farmers,6.268656716417922
1996,fertilizers,166.38059701492529
1996,fuels,101.08208955223881
1996,others,67.38805970149252
1997,animals,6.268656716417922
1997,farmers,6.268656716417922
1997,fertilizers,166.1194029850746
1997,fuels,101.86567164179104
1997,others,66.3432835820895
1998,animals,5.572139303482591
1998,farmers,6.965174129353254
1998,fertilizers,166.1194029850746
1998,fuels,102.38805970149251
1998,others,68.95522388059703
1999,animals,4.962686567164212
1999,farmers,7.052238805970148
1999,fertilizers,165.24875621890544
1999,fuels,103.95522388059698
1999,others,69.56467661691539
2000,animals,5.223880597014954
2000,farmers,6.791044776119406
2000,fertilizers,156.45522388059695
2000,fuels,104.47761194029849
2000,others,68.95522388059703
2001,animals,5.223880597014954
2001,farmers,6.268656716417922
2001,fertilizers,157.2388059701492
2001,fuels,105.52238805970148
